company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
R1 RCM,3.9,3.1k,214,258,"Job Security, Company Culture, Work Life Balance",,Average
PolicyBazaar,3.6,3.1k,44,280,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction",Average
Macleods Pharmaceuticals,3.7,3.1k,7,187,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Havells,4.0,3k,19,189,"Work Life Balance, Salary & Benefits, Company Culture",,Average
Future Group,4.3,3k,--,74,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Access Healthcare,3.9,3k,83,194,"Job Security, Company Culture",Promotions / Appraisal,Average
Hetero Drugs,3.9,3k,27,190,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Kogta Financial India Limited,4.8,3k,31,71,"Company Culture, Work Life Balance, Work Satisfaction",,High
Godrej & Boyce Manufacturing,3.9,3k,35,169,Job Security,Promotions / Appraisal,Average
PVR Inox,4.0,3k,42,148,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,Average
Aakash Educational Services,3.5,3k,116,283,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
Publicis Sapient,3.5,3k,40,575,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Tata AIA Life Insurance,4.0,3k,836,160,"Job Security, Salary & Benefits, Skill Development / Learning",,Average
Cummins,4.3,3k,120,226,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Viatris,4.2,2.9k,5,129,"Salary & Benefits, Job Security, Work Life Balance",,High
Atos,3.8,2.9k,3,283,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Average
VE Commercial Vehicles,4.0,2.9k,3,198,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Square Yards,4.1,2.9k,40,189,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,High
Abbott,4.2,2.9k,252,137,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal,High
American Express,4.2,2.9k,452,343,"Company Culture, Work Life Balance, Job Security",,High
Subros,3.9,2.9k,--,155,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",Average
Pidilite Industries,4.3,2.9k,15,191,"Job Security, Company Culture, Work Life Balance",,High
Utkarsh Small Finance Bank,3.9,2.9k,15,200,,,Average
Indian Oil Corporation,4.4,2.9k,--,227,"Company Culture, Work Life Balance, Job Security",,High
Automatic Data Processing (ADP),4.1,2.9k,47,211,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
DCB Bank,3.8,2.9k,238,173,Work Life Balance,,Average
Whitehat jr,3.5,2.9k,--,309,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Alembic Pharmaceuticals,4.0,2.9k,61,192,"Salary & Benefits, Work Life Balance",,Average
Berger Paints,3.7,2.9k,131,245,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
Bharat Electronics,4.2,2.9k,--,201,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
Sodexo,4.1,2.9k,100,148,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Barclays,4.0,2.8k,--,253,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Average
Carelon Global Solutions,4.0,2.8k,25,339,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Average
Hindalco Industries,4.2,2.8k,40,195,"Job Security, Skill Development / Learning, Company Culture",,High
Lenskart,3.2,2.8k,96,278,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Bank of America,4.4,2.8k,70,223,"Job Security, Work Life Balance, Company Culture",,High
Ford Motor,4.4,2.7k,--,137,"Company Culture, Work Life Balance, Salary & Benefits",,High
Vishal Mega Mart,3.8,2.7k,2,153,Salary & Benefits,"Company Culture, Job Security, Work Life Balance",Average
Alkem Laboratories,3.9,2.7k,7,139,Salary & Benefits,,Average
Jindal Steel and Power,4.0,2.7k,19,282,"Skill Development / Learning, Job Security",,Average
Cogent E Services,3.3,2.7k,--,221,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Average
Maersk,4.3,2.7k,90,185,"Company Culture, Work Life Balance, Job Security",,High
HDFC Ergo General Insurance,4.0,2.7k,36,130,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Wipro Infotech,4.0,2.7k,--,214,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Escorts Kubota Limited,4.1,2.7k,1,205,"Skill Development / Learning, Work Life Balance, Company Culture",,High
RBL Bank,3.7,2.7k,52,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Johnson Controls,3.6,2.7k,140,239,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Indian Air Force,4.6,2.7k,--,49,"Job Security, Skill Development / Learning, Salary & Benefits",,High
Ipca Laboratories,4.0,2.7k,29,149,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
Jubilant Foods Works,3.8,2.7k,37,153,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
